,a만족,고성,영월,영천,창녕,홍성
spot,0.0,38340.0,32330.0,37070.0,38330.0,34360.0
A1,0.01947981505172258,0.0,0.03125,0.03225806451612903,0.0,0.0
A3_1,0.7206809562006088,0.78125,0.90625,0.7096774193548387,0.7741935483870968,0.8
A3_3,0.027451656330784054,0.09375,0.03125,0.0,0.06451612903225806,0.0
A3_4,0.06740587129618547,0.15625,0.0625,0.12903225806451613,0.0967741935483871,0.12
A3_6,0.5289685502962601,0.6875,0.71875,0.6451612903225806,0.7741935483870968,0.44
A3_11,0.11700327562522922,0.0,0.03125,0.0,0.03225806451612903,0.04
A3_15,0.1183843398307999,0.03125,0.03125,0.03225806451612903,0.0,0.08
A3_19,0.003946420770655608,0.0,0.0,0.0,0.0,0.04
A6_4,0.03369538740831184,0.03125,0.09375,0.0,0.03225806451612903,0.04
A6_8,0.002228437591526155,0.0,0.0,0.0,0.0,0.0
A10A,3153.843152493353,0.0,3125.0,9677.41935483871,0.0,0.0
A10F,9039.67767901198,8718.75,14499.6875,4741.935483870968,3774.516129032258,6280.4
A3sum,2.621998566117788,2.78125,2.3125,2.096774193548387,2.3870967741935485,2.56
D_TRA1_SMONTH_8.0,0.08075961152837378,0.0625,0.1875,0.16129032258064516,0.06451612903225806,0.04
D_TRA1_SMONTH_9.0,0.03828030253772729,0.09375,0.03125,0.0967741935483871,0.12903225806451613,0.04
A2_1_1.0,0.14136728881592442,0.15625,0.25,0.16129032258064516,0.12903225806451613,0.28
A2_1_10.0,0.007608687371399887,0.03125,0.0,0.0,0.06451612903225806,0.0
A2_1_11.0,0.047785391688809076,0.09375,0.0625,0.12903225806451613,0.03225806451612903,0.08
A2_1_14.0,0.0898708309280093,0.0625,0.03125,0.0967741935483871,0.25806451612903225,0.0
A2_1_4.0,0.08477678879866005,0.03125,0.03125,0.16129032258064516,0.0967741935483871,0.08
A2_1_9.0,0.031330052395910885,0.0625,0.0625,0.03225806451612903,0.06451612903225806,0.08
A4_1_6.0,0.008548227160800385,0.03125,0.0,0.0,0.0,0.0
A4_1_7.0,0.2491014481495973,0.21875,0.1875,0.2903225806451613,0.3548387096774194,0.36
A4_1_8.0,0.2347567412941863,0.03125,0.0625,0.0967741935483871,0.0967741935483871,0.0
A4_1_9.0,8.289124668435014e-05,0.0,0.0,0.0,0.0,0.0
BAGE_1,0.05876948508864137,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0
